female;phsrank;BA;AA;black;hispanic;id;exper;jc;univ;lwage;stotal;smcity;medcity;submed;lgcity;sublg;vlgcity;subvlg;ne;nc;south;totcoll
0;8;0;0;0;0;1013;155;0;0;2.332.144;-1.929.036;0;0;0;0;0;0;0;1;0;0;0
0;76;1;0;0;1;1022;78;0;4.5;2.231.089;-.0527671;0;0;0;0;0;0;0;0;0;0;4.5
1;88;1;0;1;0;1059;148;0;5.033.333;2.356.126;0;0;1;0;0;0;0;0;0;0;1;5.033.333
0;35;0;0;0;0;1060;101;0;0;1.949.046;0;0;0;0;1;0;0;0;0;1;0;0
0;13;0;0;0;0;1062;151;.3999995;0;254.749;-.9680202;0;0;0;1;0;0;0;0;0;0;.3999995
0;91;1;0;0;0;1067;130;1.933.333;2.333.333;3.257.386;.7709606;0;0;0;0;0;0;0;0;0;0;4.266.666
1;99;1;0;0;0;1072;118;0;6.4;2.197.225;.7709606;1;0;0;0;0;0;0;0;0;1;6.4
1;96;1;0;0;0;1083;141;0;3.188.884;2.564.949;1.114.181;0;0;0;0;0;0;0;0;0;1;3.188.884
0;70;1;0;0;0;1087;162;0;4.3;2.484.907;1.022.655;0;0;0;0;0;0;0;0;1;0;4.3
0;50;0;0;1;0;1118;132;0;0;2.180.058;-2.501.069;0;0;0;0;0;0;0;0;0;1;0
0;29;1;0;0;0;1124;124;0;4.411.104;1.940.107;.3133341;0;0;0;0;1;0;0;1;0;0;4.411.104
0;36;0;0;0;0;1128;165;0;.1777775;2.813.411;-.2358177;0;0;0;0;1;0;0;0;1;0;.1777775
1;88;1;0;0;0;1134;117;0;4.7;2.488.077;.9311299;0;0;0;0;1;0;0;0;0;1;4.7
1;83;1;0;0;0;1149;113;.2333333;4;2.282.382;1.137.062;0;0;1;0;0;0;0;1;0;0;4.233.333
0;20;0;0;0;0;1199;147;0;0;2.525.729;.2675714;0;0;0;0;0;0;0;0;1;0;0
1;80;1;0;0;0;1211;107;0;4.1;1.609.438;1.228.587;0;0;0;0;0;1;0;0;0;1;4.1
0;37;1;0;0;0;1226;124;0;4.888.884;2.407.946;-.6248003;0;0;0;1;0;0;0;0;0;1;4.888.884
1;49;0;0;0;0;1240;127;0;0;2.296.479;-.4417497;0;0;0;0;0;0;0;0;1;0;0
0;3;0;0;0;0;1247;154;0;0;2.145.931;-.4188684;0;0;0;0;0;0;0;0;1;0;0
1;81;1;0;0;0;1276;49;0;4.4;1.824.549;.793842;1;0;0;0;0;0;0;0;0;1;4.4
1;81;0;0;0;0;1282;116;0;7.288.879;1.845.827;.6107914;0;0;0;1;0;0;0;0;0;1;7.288.879
0;18;0;0;0;0;1314;148;0;0;2.549.634;-.1671738;0;0;0;0;1;0;0;0;0;1;0
1;70;0;0;0;0;1327;135;0;0;17.492;.9082486;0;1;0;0;0;0;0;1;0;0;0
1;87;0;0;0;0;1332;144;0;0;2.014.903;-.670563;1;0;0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;1340;110;0;0;1.660.131;-2.546.832;0;1;0;0;0;0;0;0;1;0;0
1;98;1;0;0;0;1352;109;0;6.599.996;2.207.275;.4735034;1;0;0;0;0;0;0;0;0;1;6.599.996
1;26;0;0;0;0;1377;142;0;0;1.985.131;-.8307323;0;0;0;0;1;0;0;1;0;0;0
1;79;0;0;0;0;1380;46;0;3.533.333;2.069.286;.1760461;0;0;0;1;0;0;0;1;0;0;3.533.333
0;38;0;0;0;0;1381;138;0;2.533.333;1.348.073;.8396046;0;0;0;1;0;0;0;0;1;0;2.533.333
1;68;0;0;0;0;1388;101;0;0;1.386.294;.1074022;0;1;0;0;0;0;0;0;0;0;0
0;57;0;0;0;0;1399;155;0;0;2.231.089;-.464631;0;0;1;0;0;0;0;0;0;1;0
0;55;1;0;0;0;1403;138;0;4.555.548;2.251.292;.9311299;0;0;0;0;0;0;1;0;1;0;4.555.548
1;75;0;0;0;0;1407;119;1.711.108;0;1.504.077;.4506221;0;0;0;0;0;0;1;0;1;0;1.711.108
1;78;0;0;0;0;1412;155;2.2;0;1.832.897;.1760461;0;0;0;0;0;0;0;0;0;1;2.2
1;82;0;0;0;0;1416;151;0;1.266.667;1.335.001;1.045.537;1;0;0;0;0;0;0;0;1;0;1.266.667
0;70;1;0;0;0;1436;145;0;4.266.667;2.799.988;1.434.519;0;0;0;0;1;0;0;0;0;0;4.266.667
1;36;0;0;0;0;1439;136;0;0;2.159.484;.0616395;1;0;0;0;0;0;0;1;0;0;0
0;36;0;0;0;0;1508;97;0;0;2.407.946;-.807851;0;0;0;0;0;0;0;0;1;0;0
1;88;1;0;0;0;1518;146;0;6;2.564.949;.9997739;0;0;0;0;0;0;0;0;0;0;6
0;35;0;0;0;0;1538;161;1.3;.6333333;1.792.529;.6107914;0;1;0;0;0;0;0;0;0;1;1.933.333
1;80;0;0;0;1;1539;143;0;0;2.445.445;-1.013.783;0;0;0;0;1;0;0;0;0;0;0
1;68;0;0;0;0;1541;164;0;0;2.257.023;.0387582;1;0;0;0;0;0;0;0;0;0;0
1;86;0;0;0;0;1553;149;0;.5111104;2.627.081;-.2586991;0;0;0;0;0;0;0;0;1;0;.5111104
0;27;0;0;0;0;1577;166;0;0;2.564.949;-.8993762;1;0;0;0;0;0;0;0;1;0;0
1;44;0;0;0;0;1586;60;0;0;1.252.763;-1.517.172;0;0;0;0;1;0;0;0;1;0;0
1;92;1;0;1;0;1588;84;0;4.8;1.771.556;.5192661;1;0;0;0;0;0;0;0;0;1;4.8
1;51;1;0;1;0;1598;163;0;4.644.438;199.061;-1.105.308;0;0;0;1;0;0;0;0;0;1;4.644.438
0;37;0;1;0;0;1599;111;0;4.577.775;2.051.271;-.4875124;1;0;0;0;0;0;0;1;0;0;4.577.775
0;36;1;0;0;0;1613;127;0;4.333.333;2.596.448;-.0985298;0;0;1;0;0;0;0;0;0;1;4.333.333
0;38;0;0;0;0;1624;157;0;0;2.014.903;-.2129364;0;0;0;1;0;0;0;0;1;0;0
0;71;0;0;0;0;1629;162;.1333333;0;2.139.292;0;1;0;0;0;0;0;0;1;0;0;.1333333
0;53;0;0;0;0;1640;135;233.333;.899999;2.358.675;-.1442924;0;1;0;0;0;0;0;0;1;0;3.233.329
1;79;1;0;0;0;1661;109;0;4.2;2.649.816;.6107914;1;0;0;0;0;0;0;1;0;0;4.2
1;99;0;0;0;0;1667;56;0;5.833.333;2.161.108;1.503.163;0;0;0;0;1;0;0;0;1;0;5.833.333
0;21;0;0;0;0;1676;153;0;0;1.658.228;-1.036.664;0;0;0;0;0;0;0;0;0;1;0
0;65;1;0;0;0;1679;118;0;4.3;1.871.802;.5421474;1;0;0;0;0;0;0;0;0;1;4.3
0;95;0;0;0;0;1695;161;0;0;2.375.422;.9082486;1;0;0;0;0;0;0;0;0;0;0
1;54;0;0;0;0;1710;150;0;0;2.079.442;.3590968;0;1;0;0;0;0;0;0;1;0;0
0;40;0;0;1;0;1723;146;0;0;2.255.493;-1.013.783;0;1;0;0;0;0;0;1;0;0;0
0;40;1;0;0;0;1724;109;0;4.2;2.079.442;.8167233;0;1;0;0;0;0;0;1;0;0;4.2
0;88;1;0;0;0;1728;101;.5666667;5.266.667;2.235.376;1.640.451;1;0;0;0;0;0;0;0;1;0;5.833.333
0;25;0;0;0;0;1730;85;0;0;2.028.148;1.205.706;0;0;0;0;0;0;0;0;1;0;0
1;58;0;0;0;0;1735;137;0;.4;2.358.965;.1531648;0;0;0;0;0;0;0;1;0;0;.4
0;42;1;0;0;0;1744;131;0;2.866.663;2.826.656;.4048594;1;0;0;0;0;0;0;1;0;0;2.866.663
0;98;1;0;0;0;1799;47;2.666.667;3.777.771;2.541.766;1.022.655;0;0;0;0;0;0;1;0;0;0;6.444.438
0;61;0;0;0;0;1801;160;0;0;2.135.211;-1.860.392;1;0;0;0;0;0;0;1;0;0;0
1;42;0;0;1;0;1813;142;0;0;1.840.121;-1.448.528;0;0;0;1;0;0;0;0;1;0;0
1;40;0;0;0;0;1830;159;0;0;2.944.439;.0158769;0;0;0;0;0;0;1;1;0;0;0
0;11;0;0;0;0;1847;162;0;0;1.971.299;-.2815804;0;0;0;1;0;0;0;0;1;0;0
1;92;0;0;0;0;1848;66;.9555547;1.366.666;2.145.931;.5879101;0;0;0;0;0;0;0;0;0;0;2.322.221
0;98;1;0;0;0;1851;122;2.566.667;2.433.333;3.465.736;.8167233;0;0;0;0;1;0;0;0;0;1;5
1;17;0;0;0;0;1853;155;0;0;1.753.308;-1.379.884;1;0;0;0;0;0;0;0;0;1;0
1;88;1;0;0;0;1864;114;0;4.233.333;17.492;.7023167;0;0;0;0;0;1;0;1;0;0;4.233.333
0;74;0;0;0;0;1865;137;0;2.033.333;2.290.512;.7023167;0;0;0;0;0;0;0;0;1;0;2.033.333
0;10;0;0;0;0;1866;152;1.1;0;2.590.267;-1.082.427;0;1;0;0;0;0;0;0;0;1;1.1
1;90;0;0;0;0;1915;161;0;0;17.613;.8624859;0;1;0;0;0;0;0;0;1;0;0
1;50;0;1;0;0;1919;162;2.1;0;2.106.841;.3590968;0;0;1;0;0;0;0;1;0;0;2.1
1;81;1;0;0;0;1923;116;0;4.177.773;2.397.895;.656554;1;0;0;0;0;0;0;0;0;1;4.177.773
0;23;0;0;0;0;1924;161;0;0;1.871.802;-.4875124;1;0;0;0;0;0;0;0;1;0;0
1;65;0;0;0;0;1925;106;0;5.266.663;2.906.537;.9311299;1;0;0;0;0;0;0;1;0;0;5.266.663
0;61;1;0;0;0;1928;142;0;5.055.554;3.060.271;.5879101;0;0;0;1;0;0;0;1;0;0;5.055.554
1;87;0;1;0;0;1935;148;2.6;0;2.285.778;14.574;0;0;0;0;0;0;1;0;1;0;2.6
0;73;0;0;0;0;1937;165;0;2.888.885;1.858.669;.6794354;0;0;0;0;1;0;0;0;1;0;2.888.885
0;19;0;0;0;0;1943;161;0;0;1.536.867;-.3502244;1;0;0;0;0;0;0;0;1;0;0
0;44;0;0;0;0;1963;163;.4222216;0;2.717.019;-.327343;0;0;0;0;0;0;0;0;1;0;.4222216
1;57;0;0;0;0;1966;67;0;0;1.648.658;-.7849696;1;0;0;0;0;0;0;0;1;0;0
1;32;0;0;0;0;1973;87;0;0;2.172.916;.3133341;1;0;0;0;0;0;0;1;0;0;0
0;83;0;0;0;0;1979;109;0;5.911.108;2.906.785;1.159.943;0;1;0;0;0;0;0;0;1;0;5.911.108
1;43;0;0;0;0;1985;9;.8888875;0;1.386.419;.4963847;0;0;0;0;0;0;1;0;1;0;.8888875
1;62;0;0;0;0;1987;148;0;0;1.322.525;-1.562.935;0;0;0;0;0;0;0;0;0;1;0
1;27;0;0;0;0;1995;82;0;0;1.314.321;-1.723.104;0;1;0;0;0;0;0;0;1;0;0
0;70;0;0;0;0;2004;160;1.333.331;5.766.665;2.747.271;.5650287;0;0;0;0;1;0;0;0;0;1;7.099.996
0;99;1;0;0;0;2005;128;0;5.366.663;2.992.752;196.079;1;0;0;0;0;0;0;0;1;0;5.366.663
0;8;0;0;0;0;2007;101;0;0;3.204.704;-1.791.748;0;0;0;1;0;0;0;0;0;1;0
0;32;0;0;0;0;2015;83;0;0;2.251.292;-.8993762;0;0;0;0;0;0;1;0;1;0;0
0;65;1;0;0;0;2028;155;0;4.566.667;2.995.732;1.434.519;0;0;0;0;0;0;0;1;0;0;4.566.667
1;91;0;0;0;0;2051;151;0;2.8;2.639.057;1.182.824;0;0;0;0;0;0;0;0;0;1;2.8
0;50;0;0;0;0;2059;151;0;.6111104;1.455.287;0;0;0;0;0;0;0;0;0;1;0;.6111104
0;55;0;0;0;0;2060;146;0;0;2.525.729;0;0;0;0;1;0;0;0;0;1;0;0
1;98;1;0;0;0;2081;93;0;7.005.554;2.181.464;1.846.383;1;0;0;0;0;0;0;0;1;0;7.005.554
1;68;1;0;0;0;2082;123;0;4.333.327;2.244.956;-.0070045;0;0;0;0;0;0;0;0;0;1;4.333.327
0;37;0;0;0;0;2090;158;0;0;1.736.142;0;0;1;0;0;0;0;0;0;0;0;0
1;68;1;0;1;0;2092;66;1.422.221;1.644.442;2.302.585;-1.402.765;0;0;0;0;1;0;0;0;0;1;3.066.662
0;73;0;0;1;0;2095;131;0;7.5;2.737.048;.4735034;0;0;0;1;0;0;0;0;0;1;7.5
0;26;0;0;0;0;2102;148;0;0;2.807.969;.0616395;0;0;0;1;0;0;0;0;1;0;0
0;83;1;0;0;0;2104;104;0;4.577.771;2.476.938;.8396046;0;0;0;1;0;0;0;0;0;1;4.577.771
1;82;0;0;0;0;2130;161;0;0;14.327;.656554;0;0;0;0;0;0;0;0;1;0;0
0;85;1;0;0;0;2140;142;0;4.378.882;2.217.844;.0387582;0;0;0;1;0;0;0;0;1;0;4.378.882
1;45;0;0;0;0;2144;55;0;0;1.757.858;.4277408;0;0;0;0;1;0;0;0;1;0;0
1;72;1;0;1;0;2147;146;0;4.1;1.547.562;.5421474;0;0;0;0;1;0;0;0;0;1;4.1
1;96;0;0;0;0;2156;90;0;7.5;2.890.372;1.365.875;1;0;0;0;0;0;0;0;1;0;7.5
1;95;1;0;0;0;2171;137;0;5.088.883;1.764.731;-.0527671;1;0;0;0;0;0;0;0;0;1;5.088.883
0;32;1;0;0;0;2192;149;0;611.333;.5753642;-.670563;0;0;1;0;0;0;0;1;0;0;611.333
1;76;1;0;0;0;2208;83;0;4.7;1.446.919;1.365.875;0;0;0;0;0;0;0;1;0;0;4.7
0;67;0;0;0;0;2223;162;0;0;279.545;.2904528;1;0;0;0;0;0;0;0;0;1;0
1;20;0;0;0;0;2271;132;0;1.1;210.748;0;0;0;0;1;0;0;0;0;0;1;1.1
1;36;0;0;0;0;2279;108;1.866.667;3.4;2.717.529;.725198;0;0;0;0;1;0;0;1;0;0;5.266.667
1;83;0;0;0;0;2288;103;0;.1777775;2.525.729;0;1;0;0;0;0;0;0;0;1;0;.1777775
0;37;0;0;1;0;2291;64;1.666.667;0;2.140.066;-1.768.867;0;0;0;1;0;0;0;1;0;0;1.666.667
1;79;1;0;0;0;2309;44;0;3.633.333;1.980.929;-.1214111;0;1;0;0;0;0;0;1;0;0;3.633.333
0;60;0;0;0;0;2330;119;0;0;2.461.895;-.0756485;1;0;0;0;0;0;0;0;1;0;0
1;5;0;0;0;1;2334;27;0;0;1.345.661;-.8993762;1;0;0;0;0;0;0;0;0;0;0
1;81;1;0;0;0;2336;107;0;4.966.667;2.070.673;-.7163256;1;0;0;0;0;0;0;0;0;0;4.966.667
0;31;0;0;1;0;2339;93;0;0;1.672.413;0;1;0;0;0;0;0;0;0;0;1;0
0;75;0;0;0;0;2341;122;0;0;2.995.732;-1.196.833;0;0;0;0;0;0;0;1;0;0;0
1;24;0;0;0;0;2348;160;0;0;2.631.089;.4048594;0;1;0;0;0;0;0;1;0;0;0
0;74;1;0;0;0;2355;120;0;4.566.667;2.118.181;.4048594;0;0;1;0;0;0;0;0;0;0;4.566.667
1;2;0;0;0;0;2363;97;0;0;192.549;0;0;0;0;1;0;0;0;1;0;0;0
0;10;0;0;0;0;2365;149;0;0;2.385.967;-.5561563;1;0;0;0;0;0;0;1;0;0;0
1;50;0;1;0;1;2368;87;2.9;0;1.914.756;-.8993762;0;1;0;0;0;0;0;0;0;1;2.9
0;50;0;0;1;0;2394;155;0;0;2.069.391;-2.478.188;0;0;0;1;0;0;0;0;1;0;0
0;93;0;0;0;0;2406;115;0;7.5;1.742.969;161.757;0;0;0;0;1;0;0;1;0;0;7.5
0;95;1;0;0;0;2408;96;0;3.966.667;2.302.585;.725198;0;0;0;0;1;0;0;0;0;1;3.966.667
1;41;0;0;0;0;2433;106;0;0;181.448;1.045.537;0;0;0;0;0;0;0;0;1;0;0
1;50;1;0;1;0;2436;51;0;4.966.667;2.683.166;-.1900551;0;0;0;0;0;0;0;0;0;1;4.966.667
1;72;0;0;0;0;2440;165;0;0;2.184.802;-.8307323;1;0;0;0;0;0;0;1;0;0;0
1;70;0;0;0;0;2460;105;0;0;1.688.513;.1531648;0;0;0;0;0;1;0;0;0;0;0
0;87;0;0;0;0;2466;120;0;7.266.667;2.760.611;0;0;0;0;0;0;0;1;1;0;0;7.266.667
1;50;0;0;1;0;2468;86;2.222.219;.4888896;1.663.821;-112.819;0;0;0;1;0;0;0;0;1;0;2.711.108
0;12;0;0;0;0;2482;157;0;0;2.460.443;-.8536136;0;0;0;0;0;0;0;0;1;0;0
1;59;0;0;0;0;2490;75;0;5.833.333;2.202.765;.2675714;1;0;0;0;0;0;0;0;0;1;5.833.333
0;4;0;0;0;0;2491;135;0;1.9;2.302.585;-.4188684;1;0;0;0;0;0;0;0;0;0;1.9
0;50;0;0;0;0;2495;149;.4333333;0;1.871.802;-.533275;0;0;1;0;0;0;0;0;0;0;.4333333
1;80;1;0;1;0;2496;84;0;6.8;1.863.218;-.2358177;1;0;0;0;0;0;0;0;0;1;6.8
0;54;1;0;0;0;2503;106;0;4.966.667;236.556;1.045.537;0;0;0;1;0;0;0;1;0;0;4.966.667
1;23;0;0;0;0;2512;30;0;0;1.238.374;-1.151.071;0;0;0;0;0;0;0;0;1;0;0
1;95;0;0;0;0;2515;119;0;6.033.333;2.336.487;1.228.587;0;1;0;0;0;0;0;0;0;1;6.033.333
1;39;0;0;0;0;2518;160;.2;0;2.269.545;-.395987;0;1;0;0;0;0;0;1;0;0;.2
1;50;1;0;0;0;2534;151;.1;3.7;3.183.619;.9768926;1;0;0;0;0;0;0;0;0;0;3.8
0;53;0;0;0;0;2545;143;0;0;2.697.326;.0616395;0;1;0;0;0;0;0;1;0;0;0
1;98;0;0;0;0;2548;105;0;5.333.333;2.280.112;1.365.875;0;0;0;0;0;0;0;0;0;1;5.333.333
1;78;1;0;0;0;2559;137;0;404.444;2.079.442;0;0;0;0;0;0;1;0;0;1;0;404.444
0;91;0;0;0;0;2566;140;0;6.3;2.679.879;1.045.537;0;0;0;0;0;0;0;0;1;0;6.3
0;10;0;0;0;0;2572;152;0;0;2.429.218;-1.883.273;0;0;0;0;0;1;0;0;1;0;0
1;57;0;0;0;0;2592;125;0;0;194.591;0;1;0;0;0;0;0;0;0;0;0;0
0;73;1;0;0;0;2601;113;0;4.433.333;198.442;1.159.943;1;0;0;0;0;0;0;0;0;0;4.433.333
1;24;0;1;0;0;2614;18;2.266.667;0;120.896;-1.151.071;1;0;0;0;0;0;0;0;1;0;2.266.667
1;77;0;0;0;0;2628;126;.4666667;1.633.333;2.731.956;1.068.418;0;0;1;0;0;0;0;0;1;0;2.1
0;85;1;0;0;0;2665;134;0;4.399.992;2.583.997;.1531648;0;0;1;0;0;0;0;0;0;1;4.399.992
0;50;0;0;0;0;2675;78;0;5.488.879;2.995.732;.9311299;0;1;0;0;0;0;0;0;0;0;5.488.879
0;39;0;0;0;0;2685;162;0;0;2.660.259;.2218088;1;0;0;0;0;0;0;1;0;0;0
1;50;1;0;0;0;2693;26;2.233.333;2.133.333;1.997.203;-.5103937;1;0;0;0;0;0;0;0;0;1;4.366.667
0;38;0;0;0;0;2701;165;0;.8888875;1.770.706;-165.446;0;1;0;0;0;0;0;0;1;0;.8888875
0;50;0;0;0;0;2743;158;0;.7;2.322.388;-.8993762;0;0;0;0;0;1;0;1;0;0;.7
0;30;0;0;0;0;2746;98;.3111107;0;194.591;0;1;0;0;0;0;0;0;0;0;0;.3111107
